month,value,term,lane,theme,geo,source,notes
2018-05,81.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2018-06,76.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2018-07,72.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2018-08,64.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2018-09,70.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2018-10,96.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2018-11,77.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2018-12,67.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2019-01,49.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2019-02,49.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2019-03,67.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2019-04,71.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2019-05,81.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2019-06,66.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2019-07,65.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2019-08,64.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2019-09,64.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2019-10,84.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2019-11,82.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2019-12,62.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2020-01,46.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2020-02,51.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2020-03,23.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2020-04,13.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2020-05,25.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2020-06,26.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2020-07,26.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2020-08,20.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2020-09,33.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2020-10,37.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2020-11,32.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2020-12,22.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2021-01,19.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2021-02,26.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2021-03,33.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2021-04,44.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2021-05,49.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2021-06,46.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2014-01,81.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2014-02,63.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
